,NORMA OFICIAL MEXICANA VERIFICADA,TIPO DE PRODUCTO,RAZON SOCIAL VISITADA,GIRO COMERCIAL,ENTIDAD,CUMPLIO?
1098,NOM-010-SCFI-1994,BASCULA,TORTILLERIA MARILU    RICARDO CERRILLO  JIMENEZ,TORTILLERIA,DISTRITO FEDERAL,True
1099,NOM-008-SCFI-2002,BASCULA,TORTILLERIA LA PROVIDENCIA Y/O CARLOTA SANTANA,TORTILLERIA,DISTRITO FEDERAL,True
1100,NOM-010-SCFI-1994,BASCULA,TORTILLERIA LA PROVIDENCIA Y/O CARLOTA SANTANA,TORTILLERIA,DISTRITO FEDERAL,True
1103,NOM-008-SCFI-2002,BASCULA,POLLERIA SIN NOMBRE Y/O ERICK DE JESUS  DIAZ SERVIN,POLLERIA,DISTRITO FEDERAL,True
1104,NOM-010-SCFI-1994,BASCULA,POLLERIA SIN NOMBRE Y/O ERICK DE JESUS  DIAZ SERVIN,POLLERIA,DISTRITO FEDERAL,True
1105,NOM-008-SCFI-2002,BASCULA,EDUARDO GARDUÑO RUIZ Y/O POLLERIA SIN NOMBRE,POLLERIA,DISTRITO FEDERAL,True
1106,NOM-010-SCFI-1994,BASCULA,EDUARDO GARDUÑO RUIZ Y/O POLLERIA SIN NOMBRE,POLLERIA,DISTRITO FEDERAL,True
1107,NOM-008-SCFI-2002,BASCULA,ANDREA SANCHEZ PINEDA Y/O POLLERIA SIN NOMBRE,POLLERIA,DISTRITO FEDERAL,True
1108,NOM-010-SCFI-1994,BASCULA,ANDREA SANCHEZ PINEDA Y/O POLLERIA SIN NOMBRE,POLLERIA,DISTRITO FEDERAL,True
1109,NOM-008-SCFI-2002,BASCULA,POLLERIA SIN NOMBRE Y/O ENRIQUE GALLEGOS RIOS,POLLERIA,DISTRITO FEDERAL,True
1110,NOM-010-SCFI-1994,BASCULA,POLLERIA SIN NOMBRE Y/O ENRIQUE GALLEGOS RIOS,POLLERIA,DISTRITO FEDERAL,True
1111,NOM-008-SCFI-2002,BASCULA,POLLERIA SIN NOMBRE   SOCORRO MACIAS ROMERO,POLLERIA,DISTRITO FEDERAL,True
1112,NOM-010-SCFI-1994,BASCULA,POLLERIA SIN NOMBRE   SOCORRO MACIAS ROMERO,POLLERIA,DISTRITO FEDERAL,True
1115,NOM-008-SCFI-2002,BASCULA,POLLOS SUPREMOS,POLLERIA,DISTRITO FEDERAL,True
1116,NOM-010-SCFI-1994,BASCULA,POLLOS SUPREMOS,POLLERIA,DISTRITO FEDERAL,True
1119,NOM-008-SCFI-2002,BASCULA,POLLERIA  SIN NOMBRE   Y/O  AMELIA  MORENO  ORTEGA,POLLERIA,DISTRITO FEDERAL,True
1120,NOM-010-SCFI-1994,BASCULA,POLLERIA  SIN NOMBRE   Y/O  AMELIA  MORENO  ORTEGA,POLLERIA,DISTRITO FEDERAL,True
1121,NOM-008-SCFI-2002,BASCULA,POLLERIA  SIN NOMBRE   Y/O   ALFONSINA  MONROY  RIVERA,POLLERIA,DISTRITO FEDERAL,True
1122,NOM-010-SCFI-1994,BASCULA,POLLERIA  SIN NOMBRE   Y/O   ALFONSINA  MONROY  RIVERA,POLLERIA,DISTRITO FEDERAL,True
1123,NOM-008-SCFI-2002,BASCULA,DISTRIBUCION Y COMERCIALIZACION DE POLLOS COLORADO  S.A. DE C.V.,POLLERIA,DISTRITO FEDERAL,True
1124,NOM-010-SCFI-1994,BASCULA,DISTRIBUCION Y COMERCIALIZACION DE POLLOS COLORADO  S.A. DE C.V.,POLLERIA,DISTRITO FEDERAL,True
1125,NOM-008-SCFI-2002,BASCULA,VENTA DE POLLO PARTIDO Y/O SOLEDAD SALAZAR  RODRIGUEZ,POLLERIA,DISTRITO FEDERAL,True
